dep_time,flight,origin,dest,air_time,distance,carrier,date,arr_delay,time_hour
825,120,JFK,LAX,316,2475,DL,2013-05-03,on_time,2013-05-03T12:00:00Z
657,4122,EWR,SDF,104,642,EV,2013-03-04,on_time,2013-03-04T12:00:00Z
1835,4517,LGA,CRW,75,444,MQ,2013-02-20,on_time,2013-02-20T23:00:00Z
1827,373,JFK,CLT,90,541,US,2013-04-02,on_time,2013-04-02T22:00:00Z
1600,4502,EWR,BNA,119,748,EV,2013-06-13,late,2013-06-13T19:00:00Z
1039,4589,LGA,DTW,93,502,MQ,2013-02-21,on_time,2013-02-21T15:00:00Z
1142,4646,LGA,MSP,139,1020,MQ,2013-05-08,on_time,2013-05-08T15:00:00Z
1723,4195,EWR,BNA,130,748,EV,2013-10-21,on_time,2013-10-21T21:00:00Z
1446,3588,LGA,MSP,138,1020,MQ,2013-11-12,on_time,2013-11-12T19:00:00Z
2140,3660,LGA,BNA,104,764,MQ,2013-09-12,on_time,2013-09-12T01:00:00Z
2136,185,JFK,LAX,323,2475,AA,2013-11-06,on_time,2013-11-06T02:00:00Z
2255,4117,EWR,DCA,36,199,EV,2013-04-27,late,2013-04-27T01:00:00Z
1552,4502,EWR,BNA,126,748,EV,2013-03-16,on_time,2013-03-16T19:00:00Z
1313,4304,EWR,MSY,151,1167,EV,2013-08-08,on_time,2013-08-08T17:00:00Z
639,4424,EWR,RDU,83,416,EV,2013-12-10,on_time,2013-12-10T11:00:00Z
1123,4679,EWR,JAX,110,820,EV,2013-10-05,on_time,2013-10-05T15:00:00Z
1819,299,EWR,SEA,325,2402,UA,2013-06-12,on_time,2013-06-12T22:00:00Z
1912,155,JFK,MCO,121,944,B6,2013-03-15,on_time,2013-03-15T23:00:00Z
1555,1587,EWR,RSW,180,1068,UA,2013-12-10,on_time,2013-12-10T21:00:00Z
641,526,LGA,STL,135,888,WN,2013-07-30,on_time,2013-07-30T10:00:00Z
1603,3412,JFK,RDU,64,427,9E,2013-05-31,on_time,2013-05-31T20:00:00Z
1839,2019,LGA,MSP,143,1020,DL,2013-08-23,on_time,2013-08-23T22:00:00Z
1035,2602,JFK,BUF,56,301,B6,2013-10-30,on_time,2013-10-30T14:00:00Z
1634,620,LGA,ATL,122,762,FL,2013-04-01,on_time,2013-04-01T20:00:00Z
104,711,JFK,LAS,293,2248,B6,2013-06-25,late,2013-06-25T23:00:00Z
1415,2043,JFK,ATL,112,760,DL,2013-04-26,on_time,2013-04-26T18:00:00Z
2121,3660,LGA,BNA,122,764,MQ,2013-10-19,on_time,2013-10-19T01:00:00Z
952,3608,JFK,PHL,31,94,9E,2013-05-25,late,2013-05-25T12:00:00Z
2240,2002,JFK,BUF,59,301,B6,2013-07-30,on_time,2013-07-30T02:00:00Z
1255,781,LGA,ATL,116,762,DL,2013-01-26,on_time,2013-01-26T18:00:00Z
1735,1448,LGA,ORD,119,733,UA,2013-10-15,late,2013-10-15T21:00:00Z
1741,4644,EWR,CMH,75,463,EV,2013-03-11,on_time,2013-03-11T21:00:00Z
1253,2128,LGA,BOS,43,184,US,2013-07-19,on_time,2013-07-19T17:00:00Z
1623,1078,EWR,SAT,230,1569,UA,2013-01-11,on_time,2013-01-11T21:00:00Z
2125,383,LGA,FLL,145,1076,B6,2013-03-30,on_time,2013-03-30T01:00:00Z
1729,263,JFK,SEA,321,2422,B6,2013-08-14,late,2013-08-14T21:00:00Z
1248,3388,LGA,CMH,79,479,MQ,2013-11-19,on_time,2013-11-19T18:00:00Z
1555,2154,LGA,BOS,38,184,US,2013-09-10,on_time,2013-09-10T20:00:00Z
653,4534,LGA,XNA,180,1147,MQ,2013-02-08,on_time,2013-02-08T12:00:00Z
